HEADER[~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~UNIV_FISCAL_PRD_CD::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~UNIV_FISCAL_PRD_NM::VARCHAR~&~	~&~ROW_ACTV_IND::VARCHAR~&~	~&~BDGT_ROLLOVER_CD::VARCHAR~&~	~&~UNIV_FSCPD_END_DT::TIMESTAMP~&~	~&~]HEADER
RECORD[~&~	~&~'2008'~&~	~&~'11'~&~	~&~'682B40E65640B493E0404F8189D85FDE'~&~	~&~'1'~&~	~&~'MAY 2009'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'200805310000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2008'~&~	~&~'12'~&~	~&~'682B40E65641B493E0404F8189D85FDE'~&~	~&~'1'~&~	~&~'JUNE 2009'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'200806300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2008'~&~	~&~'13'~&~	~&~'682B40E65642B493E0404F8189D85FDE'~&~	~&~'1'~&~	~&~'CLOSING 09'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'200806300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2008'~&~	~&~'AB'~&~	~&~'682B40E65643B493E0404F8189D85FDE'~&~	~&~'1'~&~	~&~'ANNUAL BAL'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'200806300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2008'~&~	~&~'BB'~&~	~&~'682B40E65644B493E0404F8189D85FDE'~&~	~&~'1'~&~	~&~'BEG. BAL.'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'200806300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2008'~&~	~&~'CB'~&~	~&~'682B40E65645B493E0404F8189D85FDE'~&~	~&~'1'~&~	~&~'CG BEG BAL'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'200806300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'01'~&~	~&~'1D22EC78-AC31-0736-57D7-A2D3C3A606A0'~&~	~&~'2'~&~	~&~'JULY 2008'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'200807310000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'02'~&~	~&~'CCEF8A7F-BA44-B195-2090-0A94644C6450'~&~	~&~'2'~&~	~&~'AUG. 2008'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'200808310000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'03'~&~	~&~'78AC3178-7623-D5AE-64DC-50D31DBF8204'~&~	~&~'2'~&~	~&~'SEPT. 2008'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'200809300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'04'~&~	~&~'210EB0AE-3F10-EDED-7219-A24DD5C810EF'~&~	~&~'2'~&~	~&~'OCT. 2008'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'200810310000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'05'~&~	~&~'BC5E7A9B-85FB-2F71-37D8-9A015697E3F5'~&~	~&~'2'~&~	~&~'NOV. 2008'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'200811300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'06'~&~	~&~'6282A7D5-A516-BB6F-CE79-30635AB6D719'~&~	~&~'2'~&~	~&~'DEC. 2008'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'200812310000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'07'~&~	~&~'E8E29420-6850-A781-6D8C-381394746267'~&~	~&~'2'~&~	~&~'JAN. 2009'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'200901310000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'08'~&~	~&~'060F7636-C7C2-A2A3-3BE6-5CC328D909ED'~&~	~&~'2'~&~	~&~'FEB. 2009'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'200902280000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'09'~&~	~&~'F4B6EAFA-CBAE-B3DA-92DE-43E4BC198FAF'~&~	~&~'2'~&~	~&~'MAR. 2009'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'200903310000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'10'~&~	~&~'59DC0C87-E00C-6532-08E6-90756A882660'~&~	~&~'2'~&~	~&~'APR. 2009'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'200904300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'11'~&~	~&~'10BF7014-D102-E66D-B348-2F2CCCDA51EB'~&~	~&~'2'~&~	~&~'MAY 2009'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'200905310000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'12'~&~	~&~'E405438D-F824-4CAD-A1E2-4B4AFB3C3A5C'~&~	~&~'2'~&~	~&~'JUNE 2009'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'200906300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'13'~&~	~&~'C8124C78-FEA4-3003-E25C-08AEFA6ED978'~&~	~&~'2'~&~	~&~'CLOSING 09'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'200906300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'AB'~&~	~&~'32BA8CF0-F600-500B-FEEC-266CA8646B3B'~&~	~&~'2'~&~	~&~'ANNUAL BAL'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'200906300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'BB'~&~	~&~'8B3321D1-718E-DA3A-0CBA-12C5E438DF7B'~&~	~&~'2'~&~	~&~'BEG. BAL.'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'200906300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2009'~&~	~&~'CB'~&~	~&~'D4BDA6B7-5887-05A8-D581-06B76173FB1C'~&~	~&~'2'~&~	~&~'CG BEG BAL'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'200906300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'01'~&~	~&~'FC746245-A148-C2CE-52DE-830AED94D4E7'~&~	~&~'3'~&~	~&~'JULY 2009'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'200907310000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'02'~&~	~&~'6626708F-9E10-09AE-70C6-1E95BD7AB59D'~&~	~&~'3'~&~	~&~'AUG. 2009'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'200908310000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'03'~&~	~&~'521C53D9-E14C-2CD2-B8EA-F6A118351DC5'~&~	~&~'3'~&~	~&~'SEPT. 2009'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'200909300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'04'~&~	~&~'6CDFE75A-89FD-A5B8-714D-CB0309758563'~&~	~&~'3'~&~	~&~'OCT. 2009'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'200910310000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'05'~&~	~&~'A7225187-1859-1F82-6BF6-F5EF10557E4F'~&~	~&~'3'~&~	~&~'NOV. 2009'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'200911300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'06'~&~	~&~'506D04BD-716E-1411-3779-4AA2A137801D'~&~	~&~'3'~&~	~&~'DEC. 2009'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'200912310000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'07'~&~	~&~'1F4367C6-E1BD-3D1A-11BA-7700815DE206'~&~	~&~'3'~&~	~&~'JAN. 2010'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201001310000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'08'~&~	~&~'6CE1D322-2B64-2040-ED83-FB90C9834C85'~&~	~&~'3'~&~	~&~'FEB. 2010'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201002280000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'09'~&~	~&~'3DC9C05A-395C-7189-D185-ECE220816E43'~&~	~&~'3'~&~	~&~'MAR. 2010'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201003310000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'10'~&~	~&~'0F1E2F94-A8F5-66E1-1325-D806A3A0D262'~&~	~&~'3'~&~	~&~'APR. 2010'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201004300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'11'~&~	~&~'635D70E6-BE84-311F-A81D-5E9BBADFFFCF'~&~	~&~'3'~&~	~&~'MAY 2010'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201005310000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'12'~&~	~&~'A0091248-1B9F-BA9A-97BD-D1C17BD8CA84'~&~	~&~'3'~&~	~&~'JUNE 2010'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201006300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'13'~&~	~&~'AD5564AE-67F7-5CE9-1213-9059030F86A8'~&~	~&~'3'~&~	~&~'CLOSING 10'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201006300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'AB'~&~	~&~'A58C506F-75EC-61B4-0E0C-72EAA27C0230'~&~	~&~'3'~&~	~&~'ANNUAL BAL'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201006300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'BB'~&~	~&~'306CAB2B-8BD5-10F2-D4C5-762E84CB138B'~&~	~&~'3'~&~	~&~'BEG. BAL.'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201006300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2010'~&~	~&~'CB'~&~	~&~'210AC393-3245-16B3-F506-5DD6769B8E09'~&~	~&~'3'~&~	~&~'CG BEG BAL'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201006300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'01'~&~	~&~'2AAC5585-2E2E-9FD0-F4A6-4E868B3C49CE'~&~	~&~'3'~&~	~&~'JULY 2010'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201007310000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'02'~&~	~&~'857C3B09-087A-CD9A-D367-AE614EC390B7'~&~	~&~'3'~&~	~&~'AUG. 2010'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201008310000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'03'~&~	~&~'21C2F593-0B69-172F-608D-FF36EA0F5A60'~&~	~&~'3'~&~	~&~'SEPT. 2010'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201009300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'04'~&~	~&~'E16F3281-FFEC-001D-1C03-37771C05F418'~&~	~&~'3'~&~	~&~'OCT. 2010'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201010310000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'05'~&~	~&~'3FE47B42-BF20-3741-B1B9-73E0F24444BA'~&~	~&~'3'~&~	~&~'NOV. 2010'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201011300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'06'~&~	~&~'0AB9130A-0477-8B60-EAE3-BD803460C6A0'~&~	~&~'3'~&~	~&~'DEC. 2010'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201012310000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'07'~&~	~&~'FD4E2EFD-FF93-696C-6DA4-6E1B0A7DC575'~&~	~&~'3'~&~	~&~'JAN. 2011'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201101310000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'08'~&~	~&~'6297456F-2AD2-3DA8-21EE-FE1B9A6DEB48'~&~	~&~'3'~&~	~&~'FEB. 2011'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201102280000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'09'~&~	~&~'2015CE9C-4064-039C-C98D-A3E97B92493F'~&~	~&~'3'~&~	~&~'MAR. 2011'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201103310000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'10'~&~	~&~'E72BD857-73A8-18C9-7148-0A43B32FF6AA'~&~	~&~'3'~&~	~&~'APR. 2011'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201104300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'11'~&~	~&~'A9CAEA71-D7DE-50D0-D2BC-EB02AE79A39C'~&~	~&~'3'~&~	~&~'MAY 2011'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201105310000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'12'~&~	~&~'844A5D04-EAFC-0636-00A9-559BFCF5370D'~&~	~&~'3'~&~	~&~'JUNE 2011'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201106300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'13'~&~	~&~'E5E56C4F-9565-0717-7E88-A0B42A5B81B2'~&~	~&~'3'~&~	~&~'CLOSING 11'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201106300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'AB'~&~	~&~'B7213E0E-6A01-75F9-DAF1-ED818C72127D'~&~	~&~'3'~&~	~&~'ANNUAL BAL'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201106300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'BB'~&~	~&~'15C09C66-2B7D-900C-F254-6A01210C9243'~&~	~&~'3'~&~	~&~'BEG. BAL.'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201106300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2011'~&~	~&~'CB'~&~	~&~'DC3E6B74-1BAD-C71C-F29E-04CD871D35C4'~&~	~&~'3'~&~	~&~'CG BEG BAL'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201106300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'01'~&~	~&~'1C81DCEA-BB97-F9FB-E331-414A4CB9DC28'~&~	~&~'3'~&~	~&~'JULY 2011'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201107310000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'02'~&~	~&~'7752C1E2-3926-5E1E-C923-D43CD4773D47'~&~	~&~'3'~&~	~&~'AUG. 2011'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201108310000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'03'~&~	~&~'9EBF9576-0235-58F3-43E8-E668BAB8A186'~&~	~&~'3'~&~	~&~'SEPT. 2011'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201109300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'04'~&~	~&~'39B8443A-506C-BB76-7359-1956D5E7A193'~&~	~&~'3'~&~	~&~'OCT. 2011'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201110310000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'05'~&~	~&~'D439EE49-EA2C-A70B-0F6F-F6C53FB963FD'~&~	~&~'3'~&~	~&~'NOV. 2011'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201111300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'06'~&~	~&~'CF9404E2-C7A9-49E5-3B18-F7CECDA6767E'~&~	~&~'3'~&~	~&~'DEC. 2011'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201112310000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'07'~&~	~&~'AA52A00C-330F-B819-4EF9-2D14A835D415'~&~	~&~'3'~&~	~&~'JAN. 2012'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201201310000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'08'~&~	~&~'BCBED881-E554-C50E-C1C8-828B14321A76'~&~	~&~'3'~&~	~&~'FEB. 2012'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201202280000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'09'~&~	~&~'0BF01151-C0C6-A7BC-E071-183F24ED199E'~&~	~&~'3'~&~	~&~'MAR. 2012'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201203310000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'10'~&~	~&~'1390346E-6AC4-E42B-ABB2-E3142B88B484'~&~	~&~'3'~&~	~&~'APR. 2012'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201204300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'11'~&~	~&~'DC1E3959-82F6-F493-A057-F8D167A0DB5E'~&~	~&~'3'~&~	~&~'MAY 2012'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201205310000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'12'~&~	~&~'D3C63F28-B417-3850-F59B-1342D78E63C2'~&~	~&~'3'~&~	~&~'JUNE 2012'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201206300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'13'~&~	~&~'346E867C-E7A8-0F02-5AC9-31169E7A80CB'~&~	~&~'3'~&~	~&~'CLOSING 12'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201206300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'AB'~&~	~&~'D230CC28-B1BF-9C80-E5C1-727D66ABB1D9'~&~	~&~'3'~&~	~&~'ANNUAL BAL'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201206300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'BB'~&~	~&~'889C615C-3859-90E1-54BA-C636ABA0F4CF'~&~	~&~'3'~&~	~&~'BEG. BAL.'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201206300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2012'~&~	~&~'CB'~&~	~&~'E7102264-BF1C-0254-BDC9-668ECDF1812D'~&~	~&~'3'~&~	~&~'CG BEG BAL'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201206300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'01'~&~	~&~'7AAEE99F-B1E6-5509-1BF0-3272241C9D09'~&~	~&~'3'~&~	~&~'JULY 2012'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201207310000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'02'~&~	~&~'DE114290-69AB-2FEA-E371-6F6DC0D7DB82'~&~	~&~'3'~&~	~&~'AUG. 2012'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201208310000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'03'~&~	~&~'017F7E2A-731B-F89F-6B74-965851F9E19B'~&~	~&~'3'~&~	~&~'SEPT. 2012'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201209300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'04'~&~	~&~'2BCC300E-1D40-72A7-7C43-655B1567923F'~&~	~&~'3'~&~	~&~'OCT. 2012'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201210310000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'05'~&~	~&~'AD073A87-3E00-9029-36E9-29C2D50CE436'~&~	~&~'3'~&~	~&~'NOV. 2012'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201211300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'06'~&~	~&~'8F5A8DB6-CA36-5698-B35F-DDC10C315E71'~&~	~&~'3'~&~	~&~'DEC. 2012'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201212310000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'07'~&~	~&~'46C74CFA-B231-5628-6140-1EBDF26C0F18'~&~	~&~'3'~&~	~&~'JAN. 2013'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201301310000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'08'~&~	~&~'994B6821-8661-0BF9-F3C4-9BDB38C0B662'~&~	~&~'3'~&~	~&~'FEB. 2013'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201302280000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'09'~&~	~&~'E13C2F51-3668-5728-8006-F3405F032F3D'~&~	~&~'3'~&~	~&~'MAR. 2013'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201303310000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'10'~&~	~&~'87FB477A-40F6-77ED-1BFA-6ED987110D3C'~&~	~&~'3'~&~	~&~'APR. 2013'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201304300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'11'~&~	~&~'A1C9ED7A-2F0E-50E7-60A4-BC2D84A1B97C'~&~	~&~'3'~&~	~&~'MAY 2013'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201305310000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'12'~&~	~&~'F0B482F9-56D4-74B6-8693-EA18C909214E'~&~	~&~'3'~&~	~&~'JUNE 2013'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201306300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'13'~&~	~&~'0152FBB9-71D0-4FC0-6794-033779E23D3D'~&~	~&~'3'~&~	~&~'CLOSING 13'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201306300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'AB'~&~	~&~'50365E1B-7136-DE0D-17B9-1FAF241E8C73'~&~	~&~'3'~&~	~&~'ANNUAL BAL'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201306300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'BB'~&~	~&~'0447314F-096F-B710-15F3-7A932CC0AF0D'~&~	~&~'3'~&~	~&~'BEG. BAL.'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201306300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2013'~&~	~&~'CB'~&~	~&~'8CD99240-5686-E3BF-E633-78C8995A8502'~&~	~&~'3'~&~	~&~'CG BEG BAL'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201306300000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'01'~&~	~&~'25346a0e-f0e0-4908-ac0d-1d26bef0b852'~&~	~&~'4'~&~	~&~'JULY 2013'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201307310000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'02'~&~	~&~'39a6b160-0bf7-4f04-a4cd-2af9c84e0560'~&~	~&~'4'~&~	~&~'AUG. 2013'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201308310000000000'~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'03'~&~	~&~'c6d0a678-572c-4028-a00e-150ddb408f19'~&~	~&~'4'~&~	~&~'SEPT. 2013'~&~	~&~'Y'~&~	~&~'N'~&~	~&~'201309300000000000'~&~	~&~]RECORD
