HEADER[~&~	~&~CONTR_MGR_CD::DECIMAL~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~CONTR_MGR_NM::VARCHAR~&~	~&~CONTR_MGR_PHN_NBR::VARCHAR~&~	~&~CONTR_MGR_FAX_NBR::VARCHAR~&~	~&~CONTR_MGR_DLGN_DLR_LMT::DECIMAL~&~	~&~ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'51'~&~	~&~'4B796E80FD4B2827E0404F8189D82B5E'~&~	~&~'1'~&~	~&~'GONZALES,HECTOR R'~&~	~&~'555-555-5555'~&~	~&~'444-444-4444'~&~	~&~'15000.00'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'52'~&~	~&~'4B796E80FD4C2827E0404F8189D82B5E'~&~	~&~'1'~&~	~&~'MOSS,HAROLD P'~&~	~&~'555-555-5555'~&~	~&~'444-444-4444'~&~	~&~'15000.00'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'53'~&~	~&~'4B796E80FD4D2827E0404F8189D82B5E'~&~	~&~'1'~&~	~&~'WILLIAMS,HARRIET S'~&~	~&~'555-555-5555'~&~	~&~'444-444-4444'~&~	~&~'15000.00'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'54'~&~	~&~'4B796E80FD4E2827E0404F8189D82B5E'~&~	~&~'1'~&~	~&~'BENDER,HANNIBAL T'~&~	~&~'555-555-5555'~&~	~&~'444-444-4444'~&~	~&~'15000.00'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'60'~&~	~&~'4B796E80FD4F2827E0404F8189D82B5E'~&~	~&~'1'~&~	~&~'HENLEY,ISAAC A'~&~	~&~'555-555-5555'~&~	~&~'444-444-4444'~&~	~&~'15000.00'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'61'~&~	~&~'4B796E80FD502827E0404F8189D82B5E'~&~	~&~'1'~&~	~&~'ANDERSON,IRENE B'~&~	~&~'555-555-5555'~&~	~&~'444-444-4444'~&~	~&~'15000.00'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'62'~&~	~&~'4B796E80FD512827E0404F8189D82B5E'~&~	~&~'1'~&~	~&~'MATTHEWS,IMELDA C'~&~	~&~'555-555-5555'~&~	~&~'444-444-4444'~&~	~&~'15000.00'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'63'~&~	~&~'4B796E80FD522827E0404F8189D82B5E'~&~	~&~'1'~&~	~&~'CAIN,IVERSON D'~&~	~&~'555-555-5555'~&~	~&~'444-444-4444'~&~	~&~'15000.00'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'64'~&~	~&~'4B796E80FD532827E0404F8189D82B5E'~&~	~&~'1'~&~	~&~'KLEIN,IRVING E'~&~	~&~'555-555-5555'~&~	~&~'444-444-4444'~&~	~&~'15000.00'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'70'~&~	~&~'4B796E80FD542827E0404F8189D82B5E'~&~	~&~'1'~&~	~&~'BAXTER,MICHAEL S'~&~	~&~'555-555-5555'~&~	~&~'444-444-4444'~&~	~&~'15000.00'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'71'~&~	~&~'4B796E80FD552827E0404F8189D82B5E'~&~	~&~'1'~&~	~&~'GRAY,MARK T'~&~	~&~'555-555-5555'~&~	~&~'444-444-4444'~&~	~&~'15000.00'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'72'~&~	~&~'4B796E80FD562827E0404F8189D82B5E'~&~	~&~'1'~&~	~&~'HANDLEY,MATTHEW U'~&~	~&~'555-555-5555'~&~	~&~'444-444-4444'~&~	~&~'15000.00'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'73'~&~	~&~'4B796E80FD572827E0404F8189D82B5E'~&~	~&~'1'~&~	~&~'LEE,MARISSA V'~&~	~&~'555-555-5555'~&~	~&~'444-444-4444'~&~	~&~'15000.00'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'74'~&~	~&~'4B796E80FD582827E0404F8189D82B5E'~&~	~&~'1'~&~	~&~'LAWYER,MELISSA W'~&~	~&~'555-555-5555'~&~	~&~'444-444-4444'~&~	~&~'15000.00'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'80'~&~	~&~'4B796E80FD592827E0404F8189D82B5E'~&~	~&~'1'~&~	~&~'RYAN,ULYSSES E'~&~	~&~'555-555-5555'~&~	~&~'444-444-4444'~&~	~&~'15000.00'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'81'~&~	~&~'4B796E80FD5A2827E0404F8189D82B5E'~&~	~&~'1'~&~	~&~'SAMPSON,URSULA F'~&~	~&~'555-555-5555'~&~	~&~'444-444-4444'~&~	~&~'15000.00'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'82'~&~	~&~'4B796E80FD5B2827E0404F8189D82B5E'~&~	~&~'1'~&~	~&~'ALLEN,UTAH G'~&~	~&~'555-555-5555'~&~	~&~'444-444-4444'~&~	~&~'15000.00'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'83'~&~	~&~'4B796E80FD5C2827E0404F8189D82B5E'~&~	~&~'1'~&~	~&~'VOSS,USHER H'~&~	~&~'555-555-5555'~&~	~&~'444-444-4444'~&~	~&~'15000.00'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'84'~&~	~&~'4B796E80FD5D2827E0404F8189D82B5E'~&~	~&~'1'~&~	~&~'TROYER,ULRICH I'~&~	~&~'555-555-5555'~&~	~&~'444-444-4444'~&~	~&~'15000.00'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'99'~&~	~&~'2E5054C403C230CEE043814FD88130CE'~&~	~&~'1'~&~	~&~'AUTOMATIC PURCHASE ORDER'~&~	~&~'000-555-1212'~&~	~&~'000-555-1212'~&~	~&~'100000.00'~&~	~&~'Y'~&~	~&~]RECORD
