HEADER[~&~	~&~ENTITY_EMAIL_ID::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ENTITY_ID::VARCHAR~&~	~&~ENT_TYP_CD::VARCHAR~&~	~&~EMAIL_TYP_CD::VARCHAR~&~	~&~EMAIL_ADDR::VARCHAR~&~	~&~DFLT_IND::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~LAST_UPDT_DT::TIMESTAMP~&~	~&~]HEADER
RECORD[~&~	~&~'KFS1110'~&~	~&~'KFS1110'~&~	~&~'1'~&~	~&~'KFS4052'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1111'~&~	~&~'KFS1111'~&~	~&~'1'~&~	~&~'KFS4058'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1112'~&~	~&~'KFS1112'~&~	~&~'1'~&~	~&~'KFS4059'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1113'~&~	~&~'KFS1113'~&~	~&~'1'~&~	~&~'KFS4060'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1114'~&~	~&~'KFS1114'~&~	~&~'1'~&~	~&~'KFS4061'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1115'~&~	~&~'KFS1115'~&~	~&~'1'~&~	~&~'KFS4062'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1116'~&~	~&~'KFS1116'~&~	~&~'1'~&~	~&~'KFS4068'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1117'~&~	~&~'KFS1117'~&~	~&~'1'~&~	~&~'KFS4069'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1118'~&~	~&~'KFS1118'~&~	~&~'1'~&~	~&~'KFS4070'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1119'~&~	~&~'KFS1119'~&~	~&~'1'~&~	~&~'KFS4071'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1120'~&~	~&~'KFS1120'~&~	~&~'1'~&~	~&~'KFS4072'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1121'~&~	~&~'KFS1121'~&~	~&~'1'~&~	~&~'KFS4078'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1122'~&~	~&~'KFS1122'~&~	~&~'1'~&~	~&~'KFS4079'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1123'~&~	~&~'KFS1123'~&~	~&~'1'~&~	~&~'KFS4080'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1124'~&~	~&~'KFS1124'~&~	~&~'1'~&~	~&~'KFS4081'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1125'~&~	~&~'KFS1125'~&~	~&~'1'~&~	~&~'KFS4082'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1126'~&~	~&~'KFS1126'~&~	~&~'1'~&~	~&~'KFS4088'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1127'~&~	~&~'KFS1127'~&~	~&~'1'~&~	~&~'KFS4089'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1128'~&~	~&~'KFS1128'~&~	~&~'1'~&~	~&~'KFS4090'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1129'~&~	~&~'KFS1129'~&~	~&~'1'~&~	~&~'KFS4091'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1130'~&~	~&~'KFS1130'~&~	~&~'1'~&~	~&~'KFS4092'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1131'~&~	~&~'KFS1131'~&~	~&~'1'~&~	~&~'KFS4098'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1132'~&~	~&~'KFS1132'~&~	~&~'1'~&~	~&~'KFS4099'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1133'~&~	~&~'KFS1133'~&~	~&~'1'~&~	~&~'KFS4100'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1134'~&~	~&~'KFS1134'~&~	~&~'1'~&~	~&~'KFS4101'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1135'~&~	~&~'KFS1135'~&~	~&~'1'~&~	~&~'KFS4107'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1136'~&~	~&~'KFS1136'~&~	~&~'1'~&~	~&~'KFS4108'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1137'~&~	~&~'KFS1137'~&~	~&~'1'~&~	~&~'KFS4109'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1138'~&~	~&~'KFS1138'~&~	~&~'1'~&~	~&~'KFS4110'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1139'~&~	~&~'KFS1139'~&~	~&~'1'~&~	~&~'KFS4111'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'test@email.edu'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1140'~&~	~&~'KFS-TEM-KRIM-EMAIL-0001'~&~	~&~'1'~&~	~&~'KFS3410'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'bgroff@kuali.org'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1141'~&~	~&~'KFS-TEM-KRIM-EMAIL-0002'~&~	~&~'1'~&~	~&~'KFS3125'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'rshrader@kuali.org'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1142'~&~	~&~'KFS-TEM-KRIM-EMAIL-0003'~&~	~&~'1'~&~	~&~'KFS3981'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'fcarley@kuali.org'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1143'~&~	~&~'KFS-TEM-KRIM-EMAIL-0004'~&~	~&~'1'~&~	~&~'KFS1231'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'marchant@kuali.org'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1144'~&~	~&~'KFS-TEM-KRIM-EMAIL-0005'~&~	~&~'1'~&~	~&~'KFS3722'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'locarrin@kuali.org'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1145'~&~	~&~'KFS-TEM-KRIM-EMAIL-0006'~&~	~&~'1'~&~	~&~'KFS2863'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'cmounts@kuali.org'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1146'~&~	~&~'KFS-TEM-KRIM-EMAIL-0007'~&~	~&~'1'~&~	~&~'KFS2773'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'mcbee@kuali.org'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1147'~&~	~&~'KFS-TEM-KRIM-EMAIL-0008'~&~	~&~'1'~&~	~&~'KFS3631'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'bbruner@kuali.org'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1148'~&~	~&~'KFS-TEM-KRIM-EMAIL-0009'~&~	~&~'1'~&~	~&~'KFS2952'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'anock@kuali.org'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1149'~&~	~&~'KFS-TEM-KRIM-EMAIL-0010'~&~	~&~'1'~&~	~&~'KFS2938'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'joholter@kuali.org'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1150'~&~	~&~'KFS-TEM-KRIM-EMAIL-0011'~&~	~&~'1'~&~	~&~'KFS2913'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'jojude@kuali.org'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1151'~&~	~&~'KFS-TEM-KRIM-EMAIL-0012'~&~	~&~'1'~&~	~&~'KFS3299'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'bomiddle@kuali.org'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1152'~&~	~&~'KFS-TEM-KRIM-EMAIL-0013'~&~	~&~'1'~&~	~&~'KFS2880'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'davila@kuali.org'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1153'~&~	~&~'KFS-TEM-KRIM-EMAIL-0014'~&~	~&~'1'~&~	~&~'KFS3823'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'jotingle@kuali.org'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1154'~&~	~&~'KFS-TEM-KRIM-EMAIL-0015'~&~	~&~'1'~&~	~&~'KFS3309'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'klechner@kuali.org'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1155'~&~	~&~'KFS-TEM-KRIM-EMAIL-0016'~&~	~&~'1'~&~	~&~'KFS3391'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'abays@kuali.org'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1156'~&~	~&~'KFS-TEM-KRIM-EMAIL-0017'~&~	~&~'1'~&~	~&~'KFS3939'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'cpgariba@kuali.org'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1157'~&~	~&~'KFS-TEM-KRIM-EMAIL-0018'~&~	~&~'1'~&~	~&~'KFS3525'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'hglover@kuali.org'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1158'~&~	~&~'KFS-TEM-KRIM-EMAIL-0019'~&~	~&~'1'~&~	~&~'KFS3867'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'ochaisso@kuali.org'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1159'~&~	~&~'KFS-TEM-KRIM-EMAIL-0020'~&~	~&~'1'~&~	~&~'KFS3809'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'jgerhart@kuali.org'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1160'~&~	~&~'KFS-TEM-KRIM-EMAIL-0021'~&~	~&~'1'~&~	~&~'KFS3866'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'dpshuck@kuali.org'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1161'~&~	~&~'KFS-TEM-KRIM-EMAIL-0022'~&~	~&~'1'~&~	~&~'KFS3216'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'gpbilly@kuali.org'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1162'~&~	~&~'KFS-TEM-KRIM-EMAIL-0023'~&~	~&~'1'~&~	~&~'KFS3970'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'hho@kuali.org'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1163'~&~	~&~'KFS-TEM-KRIM-EMAIL-0024'~&~	~&~'1'~&~	~&~'KFS1309'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'jppankey@kuali.org'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1164'~&~	~&~'KFS-TEM-KRIM-EMAIL-0025'~&~	~&~'1'~&~	~&~'KFS3586'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'dmackenz@kuali.org'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1165'~&~	~&~'KFS-TEM-KRIM-EMAIL-0026'~&~	~&~'1'~&~	~&~'KFS2918'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'gpfabriz@kuali.org'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1166'~&~	~&~'KFS-TEM-KRIM-EMAIL-0027'~&~	~&~'1'~&~	~&~'KFS3055'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'npsolis@kuali.org'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1167'~&~	~&~'KFS-TEM-KRIM-EMAIL-0028'~&~	~&~'1'~&~	~&~'KFS3674'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'jphanks@kuali.org'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1168'~&~	~&~'KFS-TEM-KRIM-EMAIL-0029'~&~	~&~'1'~&~	~&~'KFS3973'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'dpteague@kuali.org'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1169'~&~	~&~'KFS-TEM-KRIM-EMAIL-0030'~&~	~&~'1'~&~	~&~'KFS2906'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'wcorbitt@kuali.org'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1170'~&~	~&~'KFS-TEM-KRIM-EMAIL-0031'~&~	~&~'1'~&~	~&~'KFS3758'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'bptrudea@kuali.org'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1171'~&~	~&~'KFS-TEM-KRIM-EMAIL-0032'~&~	~&~'1'~&~	~&~'KFS3746'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'aphafner@kuali.org'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1172'~&~	~&~'KFS-TEM-KRIM-EMAIL-0033'~&~	~&~'1'~&~	~&~'KFS3121'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'mparmer@kuali.org'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1173'~&~	~&~'KFS-TEM-KRIM-EMAIL-0034'~&~	~&~'1'~&~	~&~'KFS3687'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'asine@kuali.org'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1174'~&~	~&~'KFS-TEM-KRIM-EMAIL-0035'~&~	~&~'1'~&~	~&~'KFS2552'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'lander@kuali.org'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1175'~&~	~&~'KFS-TEM-KRIM-EMAIL-0036'~&~	~&~'1'~&~	~&~'KFS2974'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'sthorne@kuali.org'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1176'~&~	~&~'KFS-TEM-KRIM-EMAIL-0037'~&~	~&~'1'~&~	~&~'KFS3662'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'tdenman@kuali.org'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1177'~&~	~&~'KFS-TEM-KRIM-EMAIL-0038'~&~	~&~'1'~&~	~&~'KFS3839'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'bpashwor@kuali.org'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1178'~&~	~&~'KFS-TEM-KRIM-EMAIL-0039'~&~	~&~'1'~&~	~&~'KFS2607'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'gphom@kuali.org'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1179'~&~	~&~'KFS-TEM-KRIM-EMAIL-0040'~&~	~&~'1'~&~	~&~'KFS3193'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'dpwesson@kuali.org'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
