HEADER[~&~	~&~ENTITY_ADDR_ID::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ENTITY_ID::VARCHAR~&~	~&~ENT_TYP_CD::VARCHAR~&~	~&~ADDR_TYP_CD::VARCHAR~&~	~&~ADDR_LINE_1::VARCHAR~&~	~&~ADDR_LINE_2::VARCHAR~&~	~&~ADDR_LINE_3::VARCHAR~&~	~&~CITY::VARCHAR~&~	~&~STATE_PVC_CD::VARCHAR~&~	~&~POSTAL_CD::VARCHAR~&~	~&~POSTAL_CNTRY_CD::VARCHAR~&~	~&~DFLT_IND::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~LAST_UPDT_DT::TIMESTAMP~&~	~&~ATTN_LINE::VARCHAR~&~	~&~ADDR_FMT::VARCHAR~&~	~&~MOD_DT::TIMESTAMP~&~	~&~VALID_DT::TIMESTAMP~&~	~&~VALID_IND::VARCHAR~&~	~&~NOTE_MSG::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'10010'~&~	~&~'KFS-TEM-KRIM-ADDR-0136'~&~	~&~'1'~&~	~&~'KFS1012'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'East Peltason Dr'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Irvine'~&~	~&~'CA'~&~	~&~'92697'~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10011'~&~	~&~'KFS-TEM-KRIM-ADDR-0137'~&~	~&~'1'~&~	~&~'KFS3453'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'East Peltason Dr'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Irvine'~&~	~&~'CA'~&~	~&~'92697'~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10012'~&~	~&~'KFS-TEM-KRIM-ADDR-0138'~&~	~&~'1'~&~	~&~'KFS1078'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'East Peltason Dr'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Irvine'~&~	~&~'CA'~&~	~&~'92697'~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10013'~&~	~&~'KFS-TEM-KRIM-ADDR-0139'~&~	~&~'1'~&~	~&~'KFS3503'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'East Peltason Dr'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Irvine'~&~	~&~'CA'~&~	~&~'92697'~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10014'~&~	~&~'KFS-TEM-KRIM-ADDR-0140'~&~	~&~'1'~&~	~&~'KFS3433'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'East Peltason Dr'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Irvine'~&~	~&~'CA'~&~	~&~'92697'~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10015'~&~	~&~'KFS-TEM-KRIM-ADDR-0141'~&~	~&~'1'~&~	~&~'KFS2800'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'East Peltason Dr'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Irvine'~&~	~&~'CA'~&~	~&~'92697'~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10016'~&~	~&~'KFS-TEM-KRIM-ADDR-0142'~&~	~&~'1'~&~	~&~'KFS3900'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'East Peltason Dr'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Irvine'~&~	~&~'CA'~&~	~&~'92697'~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10017'~&~	~&~'KFS-TEM-KRIM-ADDR-0143'~&~	~&~'1'~&~	~&~'KFS3949'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'East Peltason Dr'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Irvine'~&~	~&~'CA'~&~	~&~'92697'~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10018'~&~	~&~'KFS-TEM-KRIM-ADDR-0144'~&~	~&~'1'~&~	~&~'KFS3979'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'East Peltason Dr'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Irvine'~&~	~&~'CA'~&~	~&~'92697'~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10019'~&~	~&~'KFS-TEM-KRIM-ADDR-0145'~&~	~&~'1'~&~	~&~'KFS3952'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'East Peltason Dr'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Irvine'~&~	~&~'CA'~&~	~&~'92697'~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10020'~&~	~&~'KFS-TEM-KRIM-ADDR-0146'~&~	~&~'1'~&~	~&~'KFS1334'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'East Peltason Dr'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Irvine'~&~	~&~'CA'~&~	~&~'92697'~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10021'~&~	~&~'KFS-TEM-KRIM-ADDR-0147'~&~	~&~'1'~&~	~&~'KFS3509'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'East Peltason Dr'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Irvine'~&~	~&~'CA'~&~	~&~'92697'~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10022'~&~	~&~'KFS-TEM-KRIM-ADDR-0148'~&~	~&~'1'~&~	~&~'KFS3993'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'East Peltason Dr'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Irvine'~&~	~&~'CA'~&~	~&~'92697'~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10023'~&~	~&~'KFS-TEM-KRIM-ADDR-0149'~&~	~&~'1'~&~	~&~'KFS3439'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'East Peltason Dr'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Irvine'~&~	~&~'CA'~&~	~&~'92697'~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10024'~&~	~&~'KFS-TEM-KRIM-ADDR-0150'~&~	~&~'1'~&~	~&~'KFS3207'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'East Peltason Dr'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Irvine'~&~	~&~'CA'~&~	~&~'92697'~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10025'~&~	~&~'KFS-TEM-KRIM-ADDR-0151'~&~	~&~'1'~&~	~&~'KFS2567'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'East Peltason Dr'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Irvine'~&~	~&~'CA'~&~	~&~'92697'~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10026'~&~	~&~'KFS-TEM-KRIM-ADDR-0152'~&~	~&~'1'~&~	~&~'KFS3052'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'East Peltason Dr'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Irvine'~&~	~&~'CA'~&~	~&~'92697'~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10027'~&~	~&~'KFS-TEM-KRIM-ADDR-0153'~&~	~&~'1'~&~	~&~'KFS2629'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'East Peltason Dr'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Irvine'~&~	~&~'CA'~&~	~&~'92697'~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10028'~&~	~&~'KFS-TEM-KRIM-ADDR-0154'~&~	~&~'1'~&~	~&~'KFS2943'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'East Peltason Dr'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Irvine'~&~	~&~'CA'~&~	~&~'92697'~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10029'~&~	~&~'KFS-TEM-KRIM-ADDR-0155'~&~	~&~'1'~&~	~&~'KFS3330'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'East Peltason Dr'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Irvine'~&~	~&~'CA'~&~	~&~'92697'~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10030'~&~	~&~'KFS-TEM-KRIM-ADDR-0156'~&~	~&~'1'~&~	~&~'KFS1232'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'East Peltason Dr'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Irvine'~&~	~&~'CA'~&~	~&~'92697'~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10031'~&~	~&~'KFS-TEM-KRIM-ADDR-0157'~&~	~&~'1'~&~	~&~'KFS3821'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'East Peltason Dr'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Irvine'~&~	~&~'CA'~&~	~&~'92697'~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10032'~&~	~&~'KFS-TEM-KRIM-ADDR-0158'~&~	~&~'1'~&~	~&~'KFS3829'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'East Peltason Dr'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Irvine'~&~	~&~'CA'~&~	~&~'92697'~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10033'~&~	~&~'KFS-TEM-KRIM-ADDR-0159'~&~	~&~'1'~&~	~&~'KFS3000'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'East Peltason Dr'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Irvine'~&~	~&~'CA'~&~	~&~'92697'~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10034'~&~	~&~'KFS-TEM-KRIM-ADDR-0160'~&~	~&~'1'~&~	~&~'KFS3430'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'East Peltason Dr'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Irvine'~&~	~&~'CA'~&~	~&~'92697'~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10035'~&~	~&~'KFS-TEM-KRIM-ADDR-0161'~&~	~&~'1'~&~	~&~'KFS2376'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'East Peltason Dr'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Irvine'~&~	~&~'CA'~&~	~&~'92697'~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10036'~&~	~&~'KFS-TEM-KRIM-ADDR-0162'~&~	~&~'1'~&~	~&~'KFS1107'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'East Peltason Dr'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Irvine'~&~	~&~'CA'~&~	~&~'92697'~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10037'~&~	~&~'KFS-TEM-KRIM-ADDR-0163'~&~	~&~'1'~&~	~&~'KFS2936'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'East Peltason Dr'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Irvine'~&~	~&~'CA'~&~	~&~'92697'~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10038'~&~	~&~'KFS-TEM-KRIM-ADDR-0164'~&~	~&~'1'~&~	~&~'KFS3071'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'East Peltason Dr'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Irvine'~&~	~&~'CA'~&~	~&~'92697'~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10039'~&~	~&~'KFS-TEM-KRIM-ADDR-0165'~&~	~&~'1'~&~	~&~'KFS2844'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'East Peltason Dr'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Irvine'~&~	~&~'CA'~&~	~&~'92697'~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10040'~&~	~&~'KFS-TEM-KRIM-ADDR-0166'~&~	~&~'1'~&~	~&~'KFS2578'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'East Peltason Dr'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Irvine'~&~	~&~'CA'~&~	~&~'92697'~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10041'~&~	~&~'KFS-TEM-KRIM-ADDR-0167'~&~	~&~'1'~&~	~&~'KFS3490'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'East Peltason Dr'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Irvine'~&~	~&~'CA'~&~	~&~'92697'~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10042'~&~	~&~'KFS-TEM-KRIM-ADDR-0168'~&~	~&~'1'~&~	~&~'KFS2984'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'East Peltason Dr'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Irvine'~&~	~&~'CA'~&~	~&~'92697'~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10043'~&~	~&~'KFS-TEM-KRIM-ADDR-0169'~&~	~&~'1'~&~	~&~'KFS3639'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'East Peltason Dr'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Irvine'~&~	~&~'CA'~&~	~&~'92697'~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10044'~&~	~&~'KFS-TEM-KRIM-ADDR-0170'~&~	~&~'1'~&~	~&~'KFS3314'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'East Peltason Dr'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Irvine'~&~	~&~'CA'~&~	~&~'92697'~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10045'~&~	~&~'KFS-TEM-KRIM-ADDR-0171'~&~	~&~'1'~&~	~&~'KFS3336'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'East Peltason Dr'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Irvine'~&~	~&~'CA'~&~	~&~'92697'~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
