HEADER[~&~	~&~ENTITY_NM_ID::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ENTITY_ID::VARCHAR~&~	~&~NM_TYP_CD::VARCHAR~&~	~&~FIRST_NM::VARCHAR~&~	~&~MIDDLE_NM::VARCHAR~&~	~&~LAST_NM::VARCHAR~&~	~&~SUFFIX_NM::VARCHAR~&~	~&~PREFIX_NM::VARCHAR~&~	~&~DFLT_IND::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~LAST_UPDT_DT::TIMESTAMP~&~	~&~TITLE_NM::VARCHAR~&~	~&~NOTE_MSG::VARCHAR~&~	~&~NM_CHNG_DT::TIMESTAMP~&~	~&~]HEADER
RECORD[~&~	~&~'KFS1010'~&~	~&~'KFS1010'~&~	~&~'1'~&~	~&~'KFS1010'~&~	~&~'PRFR'~&~	~&~'JUANA'~&~	~&~'C'~&~	~&~'KAHLER'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1011'~&~	~&~'KFS1011'~&~	~&~'1'~&~	~&~'KFS1011'~&~	~&~'PRFR'~&~	~&~'ELBA'~&~	~&~'B'~&~	~&~'BYLER'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1012'~&~	~&~'KFS1012'~&~	~&~'1'~&~	~&~'KFS1012'~&~	~&~'PRFR'~&~	~&~'ALAN'~&~	~&~'E'~&~	~&~'MCAFEE'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1013'~&~	~&~'KFS1013'~&~	~&~'1'~&~	~&~'KFS1013'~&~	~&~'PRFR'~&~	~&~'HENRY'~&~	~&~'F'~&~	~&~'WESTFALL'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1014'~&~	~&~'KFS1014'~&~	~&~'1'~&~	~&~'KFS1014'~&~	~&~'PRFR'~&~	~&~'BURT'~&~	~&~'B'~&~	~&~'SHANKLE'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1015'~&~	~&~'KFS1015'~&~	~&~'1'~&~	~&~'KFS1015'~&~	~&~'PRFR'~&~	~&~'ROBERTA'~&~	~&~'L'~&~	~&~'FERLAND'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1016'~&~	~&~'KFS1016'~&~	~&~'1'~&~	~&~'KFS1016'~&~	~&~'PRFR'~&~	~&~'KENDRICK'~&~	~&~'H'~&~	~&~'CRABTREE'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1017'~&~	~&~'KFS1017'~&~	~&~'1'~&~	~&~'KFS1017'~&~	~&~'PRFR'~&~	~&~'OLIVE'~&~	~&~'P'~&~	~&~'FELKER'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1018'~&~	~&~'KFS1018'~&~	~&~'1'~&~	~&~'KFS1018'~&~	~&~'PRFR'~&~	~&~'AUDREY'~&~	~&~'F'~&~	~&~'MARTIN'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1019'~&~	~&~'KFS1019'~&~	~&~'1'~&~	~&~'KFS1019'~&~	~&~'PRFR'~&~	~&~'EVERETTE'~&~	~&~'W'~&~	~&~'STERNER'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1020'~&~	~&~'KFS1020'~&~	~&~'1'~&~	~&~'KFS1020'~&~	~&~'PRFR'~&~	~&~'CORINA'~&~	~&~'H'~&~	~&~'BAYLESS'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1021'~&~	~&~'KFS1021'~&~	~&~'1'~&~	~&~'KFS1021'~&~	~&~'PRFR'~&~	~&~'THEODORE'~&~	~&~'M'~&~	~&~'KATO'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1022'~&~	~&~'KFS1022'~&~	~&~'1'~&~	~&~'KFS1022'~&~	~&~'PRFR'~&~	~&~'CLAUDIA'~&~	~&~'P'~&~	~&~'HOVIS'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1023'~&~	~&~'KFS1023'~&~	~&~'1'~&~	~&~'KFS1023'~&~	~&~'PRFR'~&~	~&~'RAFAEL'~&~	~&~'N'~&~	~&~'MCINTYRE'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1024'~&~	~&~'KFS1024'~&~	~&~'1'~&~	~&~'KFS1024'~&~	~&~'PRFR'~&~	~&~'EMORY'~&~	~&~'W'~&~	~&~'EAGLE'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1025'~&~	~&~'KFS1025'~&~	~&~'1'~&~	~&~'KFS1025'~&~	~&~'PRFR'~&~	~&~'OPAL'~&~	~&~'V'~&~	~&~'BLOOD'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1026'~&~	~&~'KFS1026'~&~	~&~'1'~&~	~&~'KFS1026'~&~	~&~'PRFR'~&~	~&~'MITZI'~&~	~&~'J'~&~	~&~'POND'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1027'~&~	~&~'KFS1027'~&~	~&~'1'~&~	~&~'KFS1027'~&~	~&~'PRFR'~&~	~&~'ANGELICA'~&~	~&~'C'~&~	~&~'FLAHERTY'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1028'~&~	~&~'KFS1028'~&~	~&~'1'~&~	~&~'KFS1028'~&~	~&~'PRFR'~&~	~&~'MASON'~&~	~&~'U'~&~	~&~'KOSS'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1029'~&~	~&~'KFS1029'~&~	~&~'1'~&~	~&~'KFS1029'~&~	~&~'PRFR'~&~	~&~'ORA'~&~	~&~'U'~&~	~&~'MCEACHERN'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1030'~&~	~&~'KFS1030'~&~	~&~'1'~&~	~&~'KFS1030'~&~	~&~'PRFR'~&~	~&~'WM'~&~	~&~'T'~&~	~&~'ACUNA'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1031'~&~	~&~'KFS1031'~&~	~&~'1'~&~	~&~'KFS1031'~&~	~&~'PRFR'~&~	~&~'MARITZA'~&~	~&~'D'~&~	~&~'SCHULTE'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1032'~&~	~&~'KFS1032'~&~	~&~'1'~&~	~&~'KFS1032'~&~	~&~'PRFR'~&~	~&~'OLIVER'~&~	~&~'M'~&~	~&~'DEVRIES'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1033'~&~	~&~'KFS1033'~&~	~&~'1'~&~	~&~'KFS1033'~&~	~&~'PRFR'~&~	~&~'DARREN'~&~	~&~'X'~&~	~&~'DEVANEY'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1035'~&~	~&~'KFS1035'~&~	~&~'1'~&~	~&~'KFS1035'~&~	~&~'PRFR'~&~	~&~'LOGAN'~&~	~&~'V'~&~	~&~'CLINKSCALES'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1036'~&~	~&~'KFS1036'~&~	~&~'1'~&~	~&~'KFS1036'~&~	~&~'PRFR'~&~	~&~'ANTWAN'~&~	~&~'I'~&~	~&~'BRUNELLE'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1037'~&~	~&~'KFS1037'~&~	~&~'1'~&~	~&~'KFS1037'~&~	~&~'PRFR'~&~	~&~'CONCETTA'~&~	~&~'N'~&~	~&~'BERNAL'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1038'~&~	~&~'KFS1038'~&~	~&~'1'~&~	~&~'KFS1038'~&~	~&~'PRFR'~&~	~&~'BARBRA'~&~	~&~'L'~&~	~&~'BORST'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1039'~&~	~&~'KFS1039'~&~	~&~'1'~&~	~&~'KFS1039'~&~	~&~'PRFR'~&~	~&~'WALLACE'~&~	~&~'W'~&~	~&~'SOILEAU'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1040'~&~	~&~'KFS1040'~&~	~&~'1'~&~	~&~'KFS1040'~&~	~&~'PRFR'~&~	~&~'ALTHEA'~&~	~&~'Q'~&~	~&~'BURD'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1041'~&~	~&~'KFS1041'~&~	~&~'1'~&~	~&~'KFS1041'~&~	~&~'PRFR'~&~	~&~'LOUELLA'~&~	~&~'S'~&~	~&~'ENGEL'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1042'~&~	~&~'KFS1042'~&~	~&~'1'~&~	~&~'KFS1042'~&~	~&~'PRFR'~&~	~&~'FAYE'~&~	~&~'L'~&~	~&~'HEADLEY'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1043'~&~	~&~'KFS1043'~&~	~&~'1'~&~	~&~'KFS1043'~&~	~&~'PRFR'~&~	~&~'RONDA'~&~	~&~'P'~&~	~&~'GAILEY'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1044'~&~	~&~'KFS1044'~&~	~&~'1'~&~	~&~'KFS1044'~&~	~&~'PRFR'~&~	~&~'IVAN'~&~	~&~'X'~&~	~&~'SHIELDS'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1045'~&~	~&~'KFS1045'~&~	~&~'1'~&~	~&~'KFS1045'~&~	~&~'PRFR'~&~	~&~'OLIVER'~&~	~&~'M'~&~	~&~'ELGIN'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1046'~&~	~&~'KFS1046'~&~	~&~'1'~&~	~&~'KFS1046'~&~	~&~'PRFR'~&~	~&~'BEATRIZ'~&~	~&~'R'~&~	~&~'BOMAN'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1047'~&~	~&~'KFS1047'~&~	~&~'1'~&~	~&~'KFS1047'~&~	~&~'PRFR'~&~	~&~'TREVOR'~&~	~&~'N'~&~	~&~'DUGGINS'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1048'~&~	~&~'KFS1048'~&~	~&~'1'~&~	~&~'KFS1048'~&~	~&~'PRFR'~&~	~&~'KELLY'~&~	~&~'H'~&~	~&~'OWENS'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1049'~&~	~&~'KFS1049'~&~	~&~'1'~&~	~&~'KFS1049'~&~	~&~'PRFR'~&~	~&~'NOELLE'~&~	~&~'R'~&~	~&~'DARR'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1050'~&~	~&~'KFS1050'~&~	~&~'1'~&~	~&~'KFS1050'~&~	~&~'PRFR'~&~	~&~'CECILE'~&~	~&~'Z'~&~	~&~'CARY'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1052'~&~	~&~'KFS1052'~&~	~&~'1'~&~	~&~'KFS1052'~&~	~&~'PRFR'~&~	~&~'DAMON'~&~	~&~'Q'~&~	~&~'RALSTON'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1053'~&~	~&~'KFS1053'~&~	~&~'1'~&~	~&~'KFS1053'~&~	~&~'PRFR'~&~	~&~'MERRILL'~&~	~&~'W'~&~	~&~'MARTIN'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1054'~&~	~&~'KFS1054'~&~	~&~'1'~&~	~&~'KFS1054'~&~	~&~'PRFR'~&~	~&~'BERT'~&~	~&~'Z'~&~	~&~'PALLADINO'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1055'~&~	~&~'KFS1055'~&~	~&~'1'~&~	~&~'KFS1055'~&~	~&~'PRFR'~&~	~&~'CHERYL'~&~	~&~'M'~&~	~&~'DUNKLE'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1056'~&~	~&~'KFS1056'~&~	~&~'1'~&~	~&~'KFS1056'~&~	~&~'PRFR'~&~	~&~'CARL'~&~	~&~'S'~&~	~&~'CHASE'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1057'~&~	~&~'KFS1057'~&~	~&~'1'~&~	~&~'KFS1057'~&~	~&~'PRFR'~&~	~&~'KRISTOPHER'~&~	~&~'G'~&~	~&~'WEIS'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1058'~&~	~&~'KFS1058'~&~	~&~'1'~&~	~&~'KFS1058'~&~	~&~'PRFR'~&~	~&~'AMY'~&~	~&~'J'~&~	~&~'LINDHOLM'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1059'~&~	~&~'KFS1059'~&~	~&~'1'~&~	~&~'KFS1059'~&~	~&~'PRFR'~&~	~&~'AMELIA'~&~	~&~'M'~&~	~&~'MUNFORD'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1060'~&~	~&~'KFS1060'~&~	~&~'1'~&~	~&~'KFS1060'~&~	~&~'PRFR'~&~	~&~'TRACIE'~&~	~&~'M'~&~	~&~'HAVILAND'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1061'~&~	~&~'KFS1061'~&~	~&~'1'~&~	~&~'KFS1061'~&~	~&~'PRFR'~&~	~&~'MELISSA'~&~	~&~'L'~&~	~&~'THEISS'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1062'~&~	~&~'KFS1062'~&~	~&~'1'~&~	~&~'KFS1062'~&~	~&~'PRFR'~&~	~&~'SAMMIE'~&~	~&~'U'~&~	~&~'PICKARD'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1063'~&~	~&~'KFS1063'~&~	~&~'1'~&~	~&~'KFS1063'~&~	~&~'PRFR'~&~	~&~'MERCEDES'~&~	~&~'D'~&~	~&~'BIRD'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'KFS1064'~&~	~&~'KFS1064'~&~	~&~'1'~&~	~&~'KFS1064'~&~	~&~'PRFR'~&~	~&~'AVIS'~&~	~&~'B'~&~	~&~'DUNSON'~&~	~&~NULL~&~	~&~NULL~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~NULL~&~	~&~]RECORD
