HEADER[~&~	~&~ENTITY_PHONE_ID::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ENTITY_ID::VARCHAR~&~	~&~ENT_TYP_CD::VARCHAR~&~	~&~PHONE_TYP_CD::VARCHAR~&~	~&~PHONE_NBR::VARCHAR~&~	~&~PHONE_EXTN_NBR::VARCHAR~&~	~&~POSTAL_CNTRY_CD::VARCHAR~&~	~&~DFLT_IND::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~LAST_UPDT_DT::TIMESTAMP~&~	~&~]HEADER
RECORD[~&~	~&~'10011'~&~	~&~'KFS-TEM-KRIM-PHONE-0164'~&~	~&~'1'~&~	~&~'KFS1012'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10012'~&~	~&~'KFS-TEM-KRIM-PHONE-0165'~&~	~&~'1'~&~	~&~'KFS3453'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10013'~&~	~&~'KFS-TEM-KRIM-PHONE-0166'~&~	~&~'1'~&~	~&~'KFS1078'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10014'~&~	~&~'KFS-TEM-KRIM-PHONE-0167'~&~	~&~'1'~&~	~&~'KFS3503'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10015'~&~	~&~'KFS-TEM-KRIM-PHONE-0168'~&~	~&~'1'~&~	~&~'KFS3433'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10016'~&~	~&~'KFS-TEM-KRIM-PHONE-0169'~&~	~&~'1'~&~	~&~'KFS2800'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10017'~&~	~&~'KFS-TEM-KRIM-PHONE-0170'~&~	~&~'1'~&~	~&~'KFS3900'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10018'~&~	~&~'KFS-TEM-KRIM-PHONE-0171'~&~	~&~'1'~&~	~&~'KFS3949'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10019'~&~	~&~'KFS-TEM-KRIM-PHONE-0172'~&~	~&~'1'~&~	~&~'KFS3979'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10020'~&~	~&~'KFS-TEM-KRIM-PHONE-0173'~&~	~&~'1'~&~	~&~'KFS3952'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10021'~&~	~&~'KFS-TEM-KRIM-PHONE-0174'~&~	~&~'1'~&~	~&~'KFS1334'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10022'~&~	~&~'KFS-TEM-KRIM-PHONE-0175'~&~	~&~'1'~&~	~&~'KFS3509'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10023'~&~	~&~'KFS-TEM-KRIM-PHONE-0176'~&~	~&~'1'~&~	~&~'KFS3993'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10024'~&~	~&~'KFS-TEM-KRIM-PHONE-0177'~&~	~&~'1'~&~	~&~'KFS3439'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10025'~&~	~&~'KFS-TEM-KRIM-PHONE-0178'~&~	~&~'1'~&~	~&~'KFS3207'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10026'~&~	~&~'KFS-TEM-KRIM-PHONE-0179'~&~	~&~'1'~&~	~&~'KFS2567'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10027'~&~	~&~'KFS-TEM-KRIM-PHONE-0180'~&~	~&~'1'~&~	~&~'KFS3052'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10028'~&~	~&~'KFS-TEM-KRIM-PHONE-0181'~&~	~&~'1'~&~	~&~'KFS2629'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10029'~&~	~&~'KFS-TEM-KRIM-PHONE-0182'~&~	~&~'1'~&~	~&~'KFS2943'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10030'~&~	~&~'KFS-TEM-KRIM-PHONE-0183'~&~	~&~'1'~&~	~&~'KFS3330'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10031'~&~	~&~'KFS-TEM-KRIM-PHONE-0184'~&~	~&~'1'~&~	~&~'KFS1232'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10032'~&~	~&~'KFS-TEM-KRIM-PHONE-0185'~&~	~&~'1'~&~	~&~'KFS3821'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10033'~&~	~&~'KFS-TEM-KRIM-PHONE-0186'~&~	~&~'1'~&~	~&~'KFS3829'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10034'~&~	~&~'KFS-TEM-KRIM-PHONE-0187'~&~	~&~'1'~&~	~&~'KFS3000'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10035'~&~	~&~'KFS-TEM-KRIM-PHONE-0188'~&~	~&~'1'~&~	~&~'KFS3430'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10036'~&~	~&~'KFS-TEM-KRIM-PHONE-0189'~&~	~&~'1'~&~	~&~'KFS2376'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10037'~&~	~&~'KFS-TEM-KRIM-PHONE-0190'~&~	~&~'1'~&~	~&~'KFS1107'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10038'~&~	~&~'KFS-TEM-KRIM-PHONE-0191'~&~	~&~'1'~&~	~&~'KFS2936'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10039'~&~	~&~'KFS-TEM-KRIM-PHONE-0192'~&~	~&~'1'~&~	~&~'KFS3071'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10040'~&~	~&~'KFS-TEM-KRIM-PHONE-0193'~&~	~&~'1'~&~	~&~'KFS2844'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10041'~&~	~&~'KFS-TEM-KRIM-PHONE-0194'~&~	~&~'1'~&~	~&~'KFS2578'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10042'~&~	~&~'KFS-TEM-KRIM-PHONE-0195'~&~	~&~'1'~&~	~&~'KFS3490'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10043'~&~	~&~'KFS-TEM-KRIM-PHONE-0196'~&~	~&~'1'~&~	~&~'KFS2984'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10044'~&~	~&~'KFS-TEM-KRIM-PHONE-0197'~&~	~&~'1'~&~	~&~'KFS3639'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10045'~&~	~&~'KFS-TEM-KRIM-PHONE-0198'~&~	~&~'1'~&~	~&~'KFS3314'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10046'~&~	~&~'KFS-TEM-KRIM-PHONE-0199'~&~	~&~'1'~&~	~&~'KFS3336'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10047'~&~	~&~'KFS-TEM-KRIM-PHONE-0200'~&~	~&~'1'~&~	~&~'KFS3571'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10048'~&~	~&~'KFS-TEM-KRIM-PHONE-0201'~&~	~&~'1'~&~	~&~'KFS2780'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10049'~&~	~&~'KFS-TEM-KRIM-PHONE-0202'~&~	~&~'1'~&~	~&~'KFS1013'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10050'~&~	~&~'KFS-TEM-KRIM-PHONE-0203'~&~	~&~'1'~&~	~&~'KFS2857'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10051'~&~	~&~'KFS-TEM-KRIM-PHONE-0204'~&~	~&~'1'~&~	~&~'KFS3782'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10052'~&~	~&~'KFS-TEM-KRIM-PHONE-0205'~&~	~&~'1'~&~	~&~'KFS2849'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10053'~&~	~&~'KFS-TEM-KRIM-PHONE-0206'~&~	~&~'1'~&~	~&~'KFS3903'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10054'~&~	~&~'KFS-TEM-KRIM-PHONE-0207'~&~	~&~'1'~&~	~&~'KFS3745'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10055'~&~	~&~'KFS-TEM-KRIM-PHONE-0208'~&~	~&~'1'~&~	~&~'KFS3728'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10056'~&~	~&~'KFS-TEM-KRIM-PHONE-0209'~&~	~&~'1'~&~	~&~'KFS3204'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10057'~&~	~&~'KFS-TEM-KRIM-PHONE-0210'~&~	~&~'1'~&~	~&~'KFS3608'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10058'~&~	~&~'KFS-TEM-KRIM-PHONE-0211'~&~	~&~'1'~&~	~&~'KFS3368'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10059'~&~	~&~'KFS-TEM-KRIM-PHONE-0212'~&~	~&~'1'~&~	~&~'KFS3481'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10060'~&~	~&~'KFS-TEM-KRIM-PHONE-0213'~&~	~&~'1'~&~	~&~'KFS3217'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10061'~&~	~&~'KFS-TEM-KRIM-PHONE-0214'~&~	~&~'1'~&~	~&~'KFS3627'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10062'~&~	~&~'KFS-TEM-KRIM-PHONE-0215'~&~	~&~'1'~&~	~&~'KFS3584'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10063'~&~	~&~'KFS-TEM-KRIM-PHONE-0216'~&~	~&~'1'~&~	~&~'KFS2826'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10064'~&~	~&~'KFS-TEM-KRIM-PHONE-0217'~&~	~&~'1'~&~	~&~'KFS3373'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10065'~&~	~&~'KFS-TEM-KRIM-PHONE-0218'~&~	~&~'1'~&~	~&~'KFS3401'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10066'~&~	~&~'KFS-TEM-KRIM-PHONE-0219'~&~	~&~'1'~&~	~&~'KFS3871'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10067'~&~	~&~'KFS-TEM-KRIM-PHONE-0220'~&~	~&~'1'~&~	~&~'KFS2582'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10068'~&~	~&~'KFS-TEM-KRIM-PHONE-0221'~&~	~&~'1'~&~	~&~'KFS3507'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10069'~&~	~&~'KFS-TEM-KRIM-PHONE-0222'~&~	~&~'1'~&~	~&~'KFS1108'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10070'~&~	~&~'KFS-TEM-KRIM-PHONE-0223'~&~	~&~'1'~&~	~&~'KFS3799'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10071'~&~	~&~'KFS-TEM-KRIM-PHONE-0224'~&~	~&~'1'~&~	~&~'KFS3991'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10072'~&~	~&~'KFS-TEM-KRIM-PHONE-0225'~&~	~&~'1'~&~	~&~'KFS2909'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10073'~&~	~&~'KFS-TEM-KRIM-PHONE-0226'~&~	~&~'1'~&~	~&~'KFS2781'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10074'~&~	~&~'KFS-TEM-KRIM-PHONE-0227'~&~	~&~'1'~&~	~&~'KFS1077'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
RECORD[~&~	~&~'10075'~&~	~&~'KFS-TEM-KRIM-PHONE-0228'~&~	~&~'1'~&~	~&~'KFS3108'~&~	~&~'PERSON'~&~	~&~'WRK'~&~	~&~'800-555-1212'~&~	~&~NULL~&~	~&~'US'~&~	~&~'Y'~&~	~&~'Y'~&~	~&~NULL~&~	~&~]RECORD
