HEADER[~&~	~&~EMPLID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~PERSON_NM::VARCHAR~&~	~&~SETID_SALARY::VARCHAR~&~	~&~SAL_ADMIN_PLAN::VARCHAR~&~	~&~GRADE::VARCHAR~&~	~&~IU_CLASSIF_LEVEL::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'0000000036'~&~	~&~'1'~&~	~&~'CLINKSCALES,LOGAN V'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000037'~&~	~&~'1'~&~	~&~'BRUNELLE,ANTWAN I'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~'PT'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000038'~&~	~&~'1'~&~	~&~'BERNAL,CONCETTA N'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000039'~&~	~&~'1'~&~	~&~'BORST,BARBRA L'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000040'~&~	~&~'1'~&~	~&~'SOILEAU,WALLACE W'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000041'~&~	~&~'1'~&~	~&~'BURD,ALTHEA Q'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000042'~&~	~&~'1'~&~	~&~'ENGEL,LOUELLA S'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~'PC'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000043'~&~	~&~'1'~&~	~&~'HEADLEY,FAYE L'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~'PT'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000044'~&~	~&~'1'~&~	~&~'GAILEY,RONDA P'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000045'~&~	~&~'1'~&~	~&~'SHIELDS,IVAN X'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000046'~&~	~&~'1'~&~	~&~'ELGIN,OLIVER M'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000047'~&~	~&~'1'~&~	~&~'BOMAN,BEATRIZ R'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000048'~&~	~&~'1'~&~	~&~'DUGGINS,TREVOR N'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~'PC'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000049'~&~	~&~'1'~&~	~&~'OWENS,KELLY H'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000050'~&~	~&~'1'~&~	~&~'DARR,NOELLE R'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000051'~&~	~&~'1'~&~	~&~'CARY,CECILE Z'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000052'~&~	~&~'1'~&~	~&~'MCBEE,CHARITY L'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000053'~&~	~&~'1'~&~	~&~'RALSTON,DAMON Q'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~'PC'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000054'~&~	~&~'1'~&~	~&~'MARTIN,MERRILL W'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0F'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000055'~&~	~&~'1'~&~	~&~'PALLADINO,BERT Z'~&~	~&~'IUBLA'~&~	~&~'PAO'~&~	~&~'10'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000056'~&~	~&~'1'~&~	~&~'DUNKLE,CHERYL M'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0A'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000057'~&~	~&~'1'~&~	~&~'CHASE,CARL S'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0G'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000058'~&~	~&~'1'~&~	~&~'WEIS,KRISTOPHER G'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0F'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000059'~&~	~&~'1'~&~	~&~'LINDHOLM,AMY J'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0F'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000060'~&~	~&~'1'~&~	~&~'MUNFORD,AMELIA M'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0D'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000061'~&~	~&~'1'~&~	~&~'HAVILAND,TRACIE M'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000062'~&~	~&~'1'~&~	~&~'THEISS,MELISSA L'~&~	~&~'IUBLA'~&~	~&~'PAE'~&~	~&~'15'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000063'~&~	~&~'1'~&~	~&~'PICKARD,SAMMIE U'~&~	~&~'IUBLA'~&~	~&~'PAE'~&~	~&~'10'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000064'~&~	~&~'1'~&~	~&~'BIRD,MERCEDES D'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0D'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000065'~&~	~&~'1'~&~	~&~'DUNSON,AVIS B'~&~	~&~'IUBLA'~&~	~&~'SM'~&~	~&~'0I'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000066'~&~	~&~'1'~&~	~&~'GRINDLE,AL S'~&~	~&~'IUBLA'~&~	~&~'PAO'~&~	~&~'11'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000067'~&~	~&~'1'~&~	~&~'BILLER,LEONEL X'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0D'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000068'~&~	~&~'1'~&~	~&~'ABNEY,GERARDO L'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0E'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000069'~&~	~&~'1'~&~	~&~'NOLAND,KELLI A'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0D'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000070'~&~	~&~'1'~&~	~&~'DANIELSON,JOE G'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~'PC'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000071'~&~	~&~'1'~&~	~&~'FLESHER,NEWTON Y'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0D'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000072'~&~	~&~'1'~&~	~&~'YOON,VANESSA X'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0D'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000073'~&~	~&~'1'~&~	~&~'BUNNELL,MONICA R'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000074'~&~	~&~'1'~&~	~&~'MICHELS,MABEL D'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000075'~&~	~&~'1'~&~	~&~'DURBIN,LAKISHA T'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000076'~&~	~&~'1'~&~	~&~'BLACKWOOD,BARRY R'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'FLX'~&~	~&~'TL'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000077'~&~	~&~'1'~&~	~&~'JACOBO,SASHA S'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'FLX'~&~	~&~'TS'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000078'~&~	~&~'1'~&~	~&~'BARTH,VONDA W'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000079'~&~	~&~'1'~&~	~&~'FANG,NOE F'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'RSS'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000080'~&~	~&~'1'~&~	~&~'SHARMA,ALEXANDER E'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'FLX'~&~	~&~'TS'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000081'~&~	~&~'1'~&~	~&~'RODRIGUEZ,MILLARD K'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~'PC'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000082'~&~	~&~'1'~&~	~&~'YON,EUGENIO P'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000083'~&~	~&~'1'~&~	~&~'EARLEY,DEBORA Y'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000084'~&~	~&~'1'~&~	~&~'ONEIL,ROBERT M'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~'PC'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000085'~&~	~&~'1'~&~	~&~'STRINGER,HATTIE P'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000086'~&~	~&~'1'~&~	~&~'PENROD,TAMIKA L'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000087'~&~	~&~'1'~&~	~&~'JAMISON,KRIS Y'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000088'~&~	~&~'1'~&~	~&~'ARRIAGA,STACIE U'~&~	~&~'IUBLA'~&~	~&~'PAO'~&~	~&~'10'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000089'~&~	~&~'1'~&~	~&~'MEDLEY,QUENTIN G'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000090'~&~	~&~'1'~&~	~&~'KNUDSEN,KENDRA E'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'RSS'~&~	~&~'TL'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000091'~&~	~&~'1'~&~	~&~'VALDIVIA,NORMAND X'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~'PT'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000092'~&~	~&~'1'~&~	~&~'HUTCHINSON,ROSENDO M'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~'PT'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000093'~&~	~&~'1'~&~	~&~'CROCKETT,MONTY C'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000094'~&~	~&~'1'~&~	~&~'IVES,STACY J'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~'PT'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000095'~&~	~&~'1'~&~	~&~'TOY,LEAH L'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0D'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000096'~&~	~&~'1'~&~	~&~'HAFNER,ARTHUR B'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'FTX'~&~	~&~'PT'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000097'~&~	~&~'1'~&~	~&~'SIGLER,ERMA A'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'FVX'~&~	~&~'PT'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000148'~&~	~&~'1'~&~	~&~'SINCLAIR,CLAIR V'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000149'~&~	~&~'1'~&~	~&~'JINKS,WILEY C'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000166'~&~	~&~'1'~&~	~&~'DULEY,KATY F'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0A'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000167'~&~	~&~'1'~&~	~&~'HUTTON,CHRISTOPER Z'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0D'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000203'~&~	~&~'1'~&~	~&~'PANEK,MERRILL G'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0A'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000204'~&~	~&~'1'~&~	~&~'SCHOENFELD,CATHY H'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0D'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000222'~&~	~&~'1'~&~	~&~'HINZ,MOLLIE B'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0A'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000223'~&~	~&~'1'~&~	~&~'BORCHARDT,ALEX M'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0D'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000269'~&~	~&~'1'~&~	~&~'SILVA,FOREST H'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000270'~&~	~&~'1'~&~	~&~'EDDINGTON,ELVA P'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000286'~&~	~&~'1'~&~	~&~'HATCHETT,KAREEM I'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000287'~&~	~&~'1'~&~	~&~'GARFIELD,ELOISE N'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000289'~&~	~&~'1'~&~	~&~'FELTON,SUE B'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000290'~&~	~&~'1'~&~	~&~'KINZER,IVA L'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000293'~&~	~&~'1'~&~	~&~'BOYCE,EDDY C'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
